district,year,total_enrollment,grade_3k,grade_pk_(half_day_&_full_day),grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,num_female,pct_female,num_male,pct_male,num_asian,pct_asian,num_black,pct_black,num_hispanic,pct_hispanic,num_multi-racial,pct_multi-racial,num_native_american,pct_native_american,num_white,pct_white,num_missing_race/ethnicity_data,pct_missing_race/ethnicity_data,num_students_with_disabilities,pct_students_with_disabilities,num_english_language_learners,pct_english_language_learners,num_poverty,pct_poverty,economic_need_index
7,2021,17533,745,1120,857,964,994,1060,1051,1156,1064,1035,1078,1738,1821,1513,1337,8230,0.469400554895401,9303,0.5305994153022766,198,0.011292990297079086,4581,0.2612787187099457,12140,0.6924086213111877,83,0.004733930341899395,164,0.009353790432214737,272,0.015513602644205093,95,0.00541835417971015,4292,0.2447955310344696,2684,0.15308275818824768,16092,0.9178121089935303,0.9270176291465759
7,2022,16032,736,934,814,792,827,920,961,974,923,974,976,1768,1692,1365,1376,7645,0.47685879468917847,8387,0.5231412053108215,169,0.010541416704654694,4284,0.2672155797481537,11037,0.6884356141090393,69,0.004303892143070698,170,0.010603792034089565,259,0.016155188903212547,44,0.002744511002674699,3922,0.24463573098182678,2430,0.1515718549489975,14674,0.9152944087982178,0.9171375632286072
8,2018,28728,0,2077,1981,2063,2183,2210,2142,2208,2112,2160,1942,2035,1946,1794,1875,13977,0.48652881383895874,14751,0.5134711861610413,1703,0.0592801459133625,6307,0.21954190731048584,18504,0.6441102623939514,103,0.0035853523295372725,290,0.010094680823385715,1766,0.06147312745451927,55,0.001914508524350822,6924,0.24101921916007996,3907,0.13599972426891327,24188,0.8419660329818726,0.8307521939277649
8,2019,28039,0,2066,1867,1943,2024,2099,2201,2141,2085,2103,2160,2039,1956,1580,1775,13628,0.48603731393814087,14411,0.5139626860618591,1759,0.06273405253887177,5998,0.2139163315296173,18142,0.6470273733139038,108,0.0038517778739333153,310,0.011056029237806797,1663,0.059310246258974075,59,0.002104212064296007,6776,0.24166339635849,3795,0.13534720242023468,23333,0.8321623206138611,0.8307576775550842
8,2020,27411,814,1963,1802,1848,1887,1972,2075,2157,1978,2063,2102,2080,1722,1550,1398,13394,0.48863595724105835,14017,0.5113640427589417,1850,0.06749115139245987,5639,0.20572033524513245,17673,0.6447411775588989,125,0.004560213070362806,302,0.011017474345862865,1603,0.05848017334938049,219,0.007989493198692799,6306,0.2300536334514618,3556,0.12972894310951233,22870,0.8343365788459778,0.8445844650268555
8,2021,25731,738,1635,1601,1759,1773,1811,1908,2045,1981,1914,2045,1723,1855,1534,1409,12603,0.48979830741882324,13128,0.5102016925811768,1713,0.06657339632511139,5266,0.20465585589408875,16661,0.6475068926811218,167,0.006490225903689861,304,0.011814543046057224,1549,0.060199759900569916,71,0.002759317634627223,5869,0.22809062898159027,3523,0.13691656291484833,21565,0.8380941152572632,0.8408468961715698
8,2022,24338,879,1605,1533,1627,1664,1700,1752,1836,1830,1933,1848,1681,1545,1559,1346,11950,0.4910017251968384,12388,0.5089982748031616,1773,0.07284904271364212,4775,0.19619524478912354,15918,0.6540389657020569,150,0.0061632017605006695,276,0.011340291239321232,1383,0.05682471767067909,63,0.002588544739410281,5362,0.2203139066696167,3538,0.14536938071250916,19955,0.8199112415313721,0.8217833042144775
9,2018,35271,0,2521,2638,2733,2826,2785,2772,2718,2707,2659,2654,2425,2208,1839,1786,17354,0.4920189380645752,17917,0.5079810619354248,525,0.014884749427437782,9808,0.2780754864215851,24187,0.685747504234314,58,0.0016444104257971048,174,0.004933231044560671,463,0.01312693115323782,56,0.0015877066180109978,7978,0.22619149088859558,8132,0.23055768013000488,32735,0.9280995726585388,0.9318645596504211
9,2019,34180,0,2634,2395,2600,2612,2678,2614,2628,2544,2670,2683,2292,2157,1861,1812,16940,0.4956114590167999,17240,0.5043885111808777,477,0.013955529779195786,9421,0.2756290137767792,23486,0.6871269941329956,68,0.0019894675351679325,203,0.00593914557248354,474,0.013867759145796299,51,0.0014921006513759494,7896,0.2310122847557068,7648,0.2237565815448761,31600,0.9245172739028931,0.9308720827102661
9,2020,33198,1206,2360,2189,2278,2413,2435,2536,2501,2449,2497,2589,2269,2067,1766,1643,16482,0.4964756965637207,16716,0.5035243034362793,468,0.014097235165536404,8902,0.2681486904621124,22773,0.6859750747680664,69,0.0020784384105354548,190,0.005723236128687859,451,0.013585155829787254,345,0.010392192751169205,7449,0.2243809849023819,6823,0.20552442967891693,30495,0.9185794591903687,0.9376536011695862
